temperature,humidity,rainfall,transit_time,storage_duration,food_type,spoilage_risk
30.58,46.25,3.22,21.91,6.88,Mango,Low
32.82,67.69,242.4,35.54,39.62,Potato,Moderate
36.7,45.51,71.94,22.96,4.05,Chickpea,Low
25.86,99.08,218.22,16.14,12.63,Ready meals,Low
34.56,37.18,280.22,22.57,13.15,Ready meals,Low
37.7,40.94,10.11,32.38,56.68,Milk,High
33.24,72.8,227.92,40.68,14.85,Chicken,Moderate
11.87,75.97,42.89,35.66,52.42,Egg,Moderate
36.67,89.63,67.62,47.41,32.28,Cauliflower,Moderate
39.68,43.27,146.55,30.83,5.21,Orange,Moderate
36.32,83.41,41.04,18.92,32.64,Fish,Moderate
43.03,35.98,270.42,28.97,26.17,Chickpea,Moderate
43.72,67.3,29.58,40.58,18.6,Tomato,Moderate
18.02,32.31,16.9,30.82,7.97,Maize,Low
17.85,78.81,135.49,8.85,29.8,Fish,Moderate
41.63,44.67,14.02,19.65,9.54,Apple,Low
25.08,94.15,133.35,46.64,58.85,Watermelon,Moderate
30.02,39.76,21.33,39.37,22.21,Tomato,Moderate
34.79,47.22,287.98,13.19,31.41,Papaya,Low
27.93,99.86,297.59,12.65,26.76,Brinjal,Low
15.69,89.04,24.24,18.77,64.63,Ready meals,Moderate
42.58,50.06,176.52,16.54,3.96,Grapes,Low
31.73,30.02,259.76,38.01,50.87,Milk,High
31.76,51.85,207.03,11.94,65.42,Ready meals,Moderate
40.22,60.35,163.3,45.64,66.69,Chicken,High
21.83,98.85,111.58,19.41,12.32,Spinach,Low
16.57,97.82,218.92,5.61,38.42,Maize,Moderate
12.36,87.17,223.73,40.98,57.05,Paneer,High
41.05,32.02,203.46,42.58,48.64,Egg,Moderate
43.4,70.19,141.99,8.68,34.37,Guava,Low
21.34,48.61,179.37,16.65,32.2,Carrot,Low
27.46,69.41,283.4,15.39,69.31,Butter,Low
17.79,53.21,192.15,29.53,53.29,Frozen corn,Moderate
33.83,54.82,191.69,15.35,4.71,Brinjal,Low
38.17,98.76,240.2,2.13,13.33,Onion,Moderate
15.02,48.82,133.77,38.29,19.86,Milk,Moderate
29.47,93.82,44.62,23.66,2.89,Grapes,Low
34.49,93.64,11.7,32.99,36.08,Cabbage,High
18.21,70.6,234.98,37.02,71.2,Onion,Moderate
42.72,33.81,289.4,11.32,38.17,Okra,Moderate
24.66,68.92,132.27,32.08,65.54,Papaya,Moderate
20.86,47.6,176.54,15.41,3.26,Cauliflower,Low
28.41,59.07,87.7,8.85,32.78,Watermelon,Low
22.3,81.16,37.98,8.57,10.15,Tomato,Low
37.95,37.13,159.7,45.47,28.23,Wheat,Moderate
10.29,46.59,11.37,11.52,31.77,Apple,Low
27.54,39.84,110.81,37.58,70.09,Chickpea,Moderate
24.64,41.34,189.87,13.0,41.07,Chickpea,Low
32.88,83.37,106.47,47.16,37.53,Brinjal,High
17.36,49.36,14.92,25.53,41.41,Rice,Moderate
44.78,46.92,66.26,7.9,61.41,Orange,Moderate
16.06,95.93,174.71,15.41,63.81,Mango,Moderate
25.66,43.56,92.34,42.49,41.19,Meat products,Moderate
33.71,42.71,166.94,16.23,17.1,Brinjal,Low
39.36,95.22,109.22,39.11,69.29,Rice,High
23.01,35.82,209.27,9.99,10.61,Cheese,Low
15.19,90.28,202.91,38.41,60.2,Ice cream,High
25.79,75.68,10.77,43.19,70.93,Butter,Moderate
34.33,49.26,169.85,11.68,11.85,Maize,Low
35.36,84.61,87.89,19.95,42.41,Fish,High
40.55,43.46,216.28,12.92,37.21,Apple,Moderate
13.33,62.27,75.01,26.45,16.09,Banana,Low
27.8,66.79,231.4,29.8,16.67,Papaya,Low
36.09,40.5,35.52,46.25,15.54,Watermelon,Moderate
35.87,42.59,57.84,40.67,33.93,Carrot,Moderate
21.96,41.53,209.53,14.15,69.54,Carrot,Low
42.8,54.93,167.2,46.82,58.15,Butter,Moderate
36.58,66.97,52.38,23.43,40.41,Guava,Moderate
15.41,41.81,236.4,36.92,67.36,Carrot,Moderate
31.21,82.26,5.33,32.89,68.94,Butter,High
25.68,30.76,268.74,42.89,69.16,Potato,Moderate
27.87,53.79,288.16,34.16,63.72,Potato,Moderate
35.14,63.06,197.5,22.91,31.61,Paneer,Moderate
44.07,66.44,210.44,3.0,41.78,Grapes,Moderate
44.67,96.34,189.68,41.01,62.02,Ready meals,High
29.86,37.02,38.51,32.53,16.26,Chickpea,Low
14.26,64.35,95.12,30.58,29.71,Carrot,Low
21.83,65.0,101.36,18.27,69.87,Cabbage,Low
19.59,42.03,134.51,13.8,10.49,Okra,Low
10.02,80.53,264.59,19.83,30.96,Okra,Low
37.3,74.06,81.78,10.81,14.67,Butter,Low
14.81,51.26,132.28,17.77,65.5,Meat products,Low
25.45,70.44,137.36,21.77,68.53,Egg,Low
10.45,64.67,139.43,27.26,4.27,Cheese,Low
27.43,59.31,48.69,6.4,63.42,Cabbage,Low
37.03,70.19,103.42,40.63,27.72,Ready meals,Moderate
41.15,94.28,4.55,32.52,53.44,Guava,High
20.55,83.95,122.25,1.91,23.74,Chickpea,Low
18.47,59.57,116.41,36.46,27.24,Pineapple,Low
13.61,47.21,138.2,45.96,26.47,Spinach,Low
39.24,87.98,153.71,47.83,62.98,Cheese,High
37.1,93.09,27.88,20.53,39.3,Chickpea,Moderate
13.64,36.24,23.61,24.83,29.4,Frozen corn,Low
28.06,86.56,259.41,47.18,53.67,Potato,Moderate
28.1,56.25,79.42,33.75,32.67,Ice cream,Moderate
36.55,72.98,203.84,19.7,18.02,Wheat,Low
36.63,81.39,275.54,3.27,66.11,Ice cream,High
24.25,46.22,75.16,34.54,62.92,Chickpea,Moderate
20.78,69.46,226.9,13.97,22.65,Cabbage,Low
15.52,99.4,298.19,18.46,41.59,Cheese,Moderate
23.45,81.3,7.66,25.73,69.95,Banana,Moderate
29.0,99.18,253.41,47.86,21.54,Potato,Moderate
